"zip","lat","lng","city","state_id","state_name","zcta","parent_zcta","population","density","county_fips","county_name","county_weights","county_names_all","county_fips_all","imprecise","military","timezone"
"04088","44.19352","-70.71906","Waterford","ME","Maine","TRUE","","1259","9.8","23017","Oxford","{""23017"": 100}","Oxford","23017","FALSE","FALSE","America/New_York"
"04090","43.32669","-70.63356","Wells","ME","Maine","TRUE","","11156","74.7","23031","York","{""23031"": 100}","York","23031","FALSE","FALSE","America/New_York"
"04091","43.83035","-70.74858","West Baldwin","ME","Maine","TRUE","","769","14.7","23005","Cumberland","{""23005"": 100}","Cumberland","23005","FALSE","FALSE","America/New_York"
"04092","43.69542","-70.35389","Westbrook","ME","Maine","TRUE","","20074","450.9","23005","Cumberland","{""23005"": 100}","Cumberland","23005","FALSE","FALSE","America/New_York"
"04093","43.64282","-70.53765","Buxton","ME","Maine","TRUE","","8332","79.4","23031","York","{""23031"": 100}","York","23031","FALSE","FALSE","America/New_York"
"04095","43.63925","-70.90749","West Newfield","ME","Maine","TRUE","","1617","20.5","23031","York","{""23031"": 100}","York","23031","FALSE","FALSE","America/New_York"
"04096","43.7978","-70.1719","Yarmouth","ME","Maine","TRUE","","8903","256.4","23005","Cumberland","{""23005"": 100}","Cumberland","23005","FALSE","FALSE","America/New_York"
"04097","43.85123","-70.23636","North Yarmouth","ME","Maine","TRUE","","4037","73.4","23005","Cumberland","{""23005"": 100}","Cumberland","23005","FALSE","FALSE","America/New_York"
"04101","43.6624","-70.2586","Portland","ME","Maine","TRUE","","17816","3389.3","23005","Cumberland","{""23005"": 100}","Cumberland","23005","FALSE","FALSE","America/New_York"
"04102","43.65877","-70.30622","Portland","ME","Maine","TRUE","","17174","1106.5","23005","Cumberland","{""23005"": 100}","Cumberland","23005","FALSE","FALSE","America/New_York"
"04103","43.69392","-70.2909","Portland","ME","Maine","TRUE","","32011","1208.0","23005","Cumberland","{""23005"": 100}","Cumberland","23005","FALSE","FALSE","America/New_York"
"04105","43.74753","-70.2825","Falmouth","ME","Maine","TRUE","","12221","161.1","23005","Cumberland","{""23005"": 100}","Cumberland","23005","FALSE","FALSE","America/New_York"
"04106","43.63081","-70.28972","South Portland","ME","Maine","TRUE","","26646","845.3","23005","Cumberland","{""23005"": 100}","Cumberland","23005","FALSE","FALSE","America/New_York"
"04107","43.5891","-70.23801","Cape Elizabeth","ME","Maine","TRUE","","9448","245.5","23005","Cumberland","{""23005"": 100}","Cumberland","23005","FALSE","FALSE","America/New_York"
"04108","43.66057","-70.18901","Peaks Island","ME","Maine","TRUE","","885","281.0","23005","Cumberland","{""23005"": 100}","Cumberland","23005","FALSE","FALSE","America/New_York"
